"ИД";"Ссылка";"Картинка"
"17318";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/bani_laboratrnye/ut4331s_banya_vodyanaya_s_shejkerom/";"/images/imgulab/200/ut-4331s.jpg"
"21490";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/bani_laboratrnye/ut4305e_banya_vodyanaya_65_l_ulab/";"/images/imgulab/135x135/ut-4305e.jpg"
"21491";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/bani_laboratrnye/ut4313e_banya_vodyanaya_12_l_ulab/";"/images/imgulab/135x135/ut-4305e.jpg"
"1107";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/rotacionnye_ispariteli/ul2000e_rotacioonyj_isparitel/";"/images/imgulab/obshelab/135/UL-2000Es.jpg"
"1105";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/rotacionnye_ispariteli/ul1100_rotacioonyj_isparitel/";"/images/imgulab/obshelab/135/UL-1100s.jpg"
"21392";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/rotacionnye_ispariteli/ul2200_isparitel_rotacionnyj_ulab/";"/images/imgulab/ul-2200_small.jpg"
"1098";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/distillyatory_steklyannye/ud2016_bidistillyator_steklyannyj/";"/images/imgulab/obshelab/135/UD-2016s.jpg"
"1095";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/distillyatory_steklyannye/ud1018_distillyator_steklyannyj/";"/images/imgulab/obshelab/135/UD-1018s.jpg"
"1099";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/distillyatory_steklyannye/ud3015_tridistillyator_steklyannyj/";"/images/imgulab/obshelab/135/UD-3015s.jpg"
"1100";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/distillyatory_metallicheskie/ud1050_distillyator/";"/images/imgulab/obshelab/135/UD-1050s.jpg"
"1101";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/distillyatory_metallicheskie/ud1100_distillyator/";"/images/imgulab/obshelab/135/UD-1100s.jpg"
